 \,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
41,0,7,72.7527164,73.2528577,73.2528577,73.2528577,73.5529344,right,7,1,1,0.991476,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
42,0,7,74.2693862,74.7696686,74.7696686,74.7696686,75.0694912,right,7,1,1,2.599182,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
43,0,7,77.3862146,77.886461,77.886461,77.886461,78.1861083,right,7,1,1,1.4501486,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
44,0,7,79.3531117,79.8530345,79.8530345,79.8530345,80.152976,left,-7,1,1,0.7456542,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
45,0,7,80.6196105,81.1197903,81.1197903,81.1197903,81.4197038,right,7,1,1,0.9248633,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
46,0,7,82.0695731,82.5698433,82.5698433,82.5698433,82.869686,right,7,1,1,0.6833864,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
47,0,7,83.2701693,83.7696416,83.7696416,83.7696416,84.069802,right,7,1,1,0.6473052,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
48,0,7,84.4361621,84.9364778,84.9364778,84.9364778,85.23627,left,-7,1,1,0.6827186,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
49,0,7,85.6363176,86.1364342,86.1364342,86.1364342,86.4363768,left,-7,1,1,0.622882,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
50,0,7,86.7863847,87.2865618,87.2865618,87.2865618,87.5864105,right,7,1,1,1.1682331,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
51,0,7,88.4863749,88.9867118,88.9867118,88.9867118,89.2864731,right,7,1,1,0.8424968,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
52,0,7,89.8530295,90.3531933,90.3531933,90.3531933,90.6531348,left,-7,1,1,0.7501701,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
53,0,7,91.1197077,91.6199343,91.6199343,91.6199343,91.9197615,right,7,1,1,0.8029908,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
54,0,7,92.4531157,92.9534358,92.9534358,92.9534358,93.2531992,left,-7,1,1,0.5959628,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
55,0,7,93.569767,94.0699422,94.0699422,94.0699422,94.3697377,left,-7,1,1,1.1140053,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
56,0,7,95.2031683,95.70344,95.70344,95.70344,96.0031662,right,7,1,1,0.5210996,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
57,0,7,96.2531887,96.7533169,96.7533169,96.7533169,97.0531863,left,-7,1,1,0.6906253,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
58,0,7,97.4697861,97.9533409,97.9533409,97.9699885,98.2531855,left,-7,1,1,2.2663468,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
59,0,7,100.236597,100.7366931,100.7366931,100.7366931,101.0367272,left,-7,1,1,0.6433258,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
60,0,7,101.4032156,101.9034108,101.9034108,101.9034108,102.2032613,right,7,1,1,0.7415279,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
61,0,7,102.6697873,103.1702329,103.1702329,103.1702329,103.46993,right,7,1,1,1.7018492,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
62,0,7,104.9034753,105.4033267,105.4033267,105.4033267,105.7034123,left,-7,1,1,0.6450984,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
63,0,7,106.0699634,106.5700983,106.5700983,106.5700983,106.8700317,right,7,1,1,0.8395979,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
64,0,7,107.4364354,107.936707,107.936707,107.936707,108.2367068,left,-7,1,1,1.3534141,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
65,0,7,109.3199797,109.8201644,109.8201644,109.8201644,110.1199823,left,-7,1,1,1.8749945,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
66,0,7,111.7199247,112.2036801,112.2036801,112.2202585,112.5034339,left,-7,1,1,0.5857885,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
67,0,7,112.8199099,113.3203104,113.3203104,113.3203104,113.6201153,right,7,1,1,0.7622492,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
68,0,7,114.1033628,114.6035796,114.6035796,114.6035796,114.9034926,right,7,1,1,0.8102708,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
69,0.5,7,115.4368733,115.9369178,115.9369178,115.9369178,116.2367584,left,-7,0,0,1.5887771,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
70,0.5,7.5,117.5535277,118.0536915,118.0536915,118.0536915,118.3536255,left,-7.5,1,1,0.7723072,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
71,0.5,7.5,118.8533781,119.3537652,119.3537652,119.3537652,119.6534883,right,7.5,1,1,0.9360883,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
72,0.5,7.5,120.3201469,120.8202556,120.8202556,120.8202556,121.1201868,right,7.5,1,1,0.7713877,54045,1,2023-09-07_22h33.31.471,T3,2023.1.3,60.0551546
,,,,,,,,,0.05,,,,,,,,,
